bill,date,code,sp,quantity,price,revenue,discount
170005,23/07/2023,HP32285,Máy chế biến kẹo bông gòn Harp,1,"1,890,000","1,690,000","200,000"
,,OP-31006.20,Túi xách 3D hình chó mèo Oops,1,"299,000",,"299,000"
170006,23/07/2023,TM-801733,14 Formula Renault 3.5 SP,1,"89,000","44,000","45,000"
170007,23/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170008,23/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
170009,23/07/2023,SG 099,Nhảy Qua Nào (Bản đặc biệt),1,"590,000","590,000",
170010,23/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
170011,23/07/2023,PL9146,Figures Boys S11,1,"89,000","44,000","45,000"
170012,23/07/2023,TM-801092,21 Nissan X-Trail,1,"89,000","44,000","45,000"
,,TM-801009,40 Nissan Fairlady Nismo,1,"89,000","44,000","45,000"
,,TM-335894,S-11 N700 w/Sound,1,"490,000","490,000",
,,TM-654872,R-21 Double-Size Curve,1,"120,000",,"120,000"
,,TM-652175,R-07 DOUBLE LENGTH STRAIGHT,1,"132,000",,"132,000"
170013,23/07/2023,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
170014,23/07/2023,MAG-701013,Bộ cơ bản 40 mảnh,1,"1,590,000","1,590,000",
,,PL6976,Gamekeeper with Tiger,1,"199,000",,"199,000"
170015,23/07/2023,4.5731E+12,POKEPLA 45 GENGAR,1,"399,000","399,000",
170016,23/07/2023,433-206,Xe trượt scooter 3 bánh gấp gọn có bánh xe phát ,1,"2,180,000","1,962,000","218,000"
170017,23/07/2023,PL9146,Figures Boys S11,1,"89,000","44,000","45,000"
,,PL70286,SCOOBY-DOO! Bộ máy bí ẩn,1,"1,790,000","1,074,000","716,000"
,,PL70287,SCOOBY-DOO! Scooby & Shaggy và hồn ma bí ẩn,1,"459,000",,"459,000"
170018,23/07/2023,TM-423072,32 Daihatsu Move SP,1,"89,000","44,000","45,000"
170019,23/07/2023,4.52112E+12,POKEMON Terrarium 12 ,6,"299,000","1,794,000",
170020,23/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
,,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
,,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
,,SG 098,Thử thách Đảo kho báu,1,"590,000","551,000","39,000"
,,SG 401,Thử thách IQ Mini,1,"149,000","139,000","10,000"
170021,23/07/2023,OP-30014.14,Ba lô 3D hình chim công Oops,1,"399,000","199,000","200,000"
170022,23/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
170023,23/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
170024,23/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170025,23/07/2023,PL4877,Agent Detectorjet,1,"929,000","371,000","558,000"
,,PL70598,Hải tặc trên bè,1,"149,000","149,000",
