bill,date,code,sp,quantity,price,revenue,discount,%
150001,12/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
150006,12/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170002,12/2/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
190001,12/2/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 421,Nhảy qua nào,1,399000,399000,0,0
190004,12/2/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
150003,13/02/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150005,13/02/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150009,13/02/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
