bill,date,code,sp,quantity,price,revenue,discount,%
170009,16/01/2021,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
170022,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
170023,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
170024,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
170040,16/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
220005,16/01/2021,SG 411,Thử thách IQ ngôi sao,1,"249,000","249,000",0,0
230007,16/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
230008,16/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
20007,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
20008,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
20011,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
80007,17/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
120001,17/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
,,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
,,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
120009,17/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150003,17/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150004,17/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
150005,17/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
150006,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
150007,17/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150008,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","149,000","100,000",0.4
150009,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150010,17/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150011,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150015,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150016,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150017,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150019,17/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
150020,17/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150021,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150022,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150023,17/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
150025,17/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","149,000","100,000",0.4
