code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
EP-6011,Grand Piano Concert Set,"629,000",13,,,9,,,,,,1,,3,,
EP-6013,Boutique Fashion Set,"449,000",19,,,12,,,,,,3,,4,,
EP-6015,Fashion Showcase Set,"239,000",17,,,2,,,,,,,,15,,
EP-6019,Dress up Set (Navy & Light Blue),"279,000",10,,,2,,,,,,1,,7,,
EP-6020,Dress up Set (Purple & Pink),"279,000",2,,,,,,,,,,,2,,
EP-6021,Dress up Set (Blue & Green),"279,000",8,,,6,,,,,,,,2,,
EP-95146,Mô hình Thỏ 90cm,"8,990,000",6,,,,,,,,6,,,,,
EP-98189,Đồ chơi 17 SF Cake shop novelty,,77,,,47,,,,,,30,,,,
EP-98218,Đồ chơi 17SF Dress pink,,16,,,,,,,,,14,,2,,
EP-98866,Fe 30Cm Chocolate Rabbit,"1,290,000",9,,,9,,,,,,,,,,
GM-05608,Don-Ketsu Game (Hip Pushing),"260,000",3,,,,,,,,,,,3,,
GM-06119,Ice Cream Tower Minions,"410,000",2,,,1,,,,,,,,,1,
FT-41859,Cable Railway,"1,290,000",2,,,2,,,,,,,,,,
FT-511929,Little Starter,"740,000",10,1,,4,,,,,,,,5,,
FT-511930,Jumbo Starter,"2,190,000",1,,,1,,,,,,,,,,
FT-520395,Bulldozer,"870,000",15,5,,,,,,,,1,,9,,
FT-520397,Tractors,"990,000",3,3,,,,,,,,,,,,
FT-536618,Universal Starter,"1,740,000",1,,,,,,,1,,,,,,
FT-540580,Racers,"460,000",2,2,,,,,,,,,,,,
FT-540581,Gliders,"460,000",31,6,,9,,,,,,,,16,,
HL3116B,Xe chuyên dụng,"79,000",3,,,,,,,,,,,3,,
HL356A,Xe kéo thả trái cây,"59,000",4,,,,,,,,,,,4,,
HL356C,Xe kéo thả chuyên nghiệp,"59,000",5,,,,,,,,,,,5,,
HL519,Ốc sên vui vẻ,"49,000",6,,,,,,,,,,,5,,1
HL529,Chú rùa tinh nghịch,"49,000",5,,,,,,,,,,,5,,
HL537,Nàng tiên cá,"59,000",4,,,,,,,,,,,4,,
HL549,Cá bơi tung tăng,"49,000",102,,,1,,,,,,,,99,,2
HL568,Khủng Long Nhỏ Đáng Yêu,"49,000",4,,,,,,,,,,,4,,
HL578,Sóc con nghịch ngợm,"49,000",3,,,,,,,,,,,3,,
HL582,Khỉ con nghịch ngợm,"49,000",80,,,7,6,,,2,18,,,46,,1
HL583,Ngựa con vui vẻ,"49,000",485,,,114,7,,,,104,,,255,,5
HL587,Ngỗng mẹ vui vẻ,"59,000",17,,,5,,,,5,,,,7,,
HL589,Mèo cưng,"49,000",4,,,,,,,,,,,4,,
HL599,Cún cưng dễ thương,"49,000",10,,,,,,,,,,,10,,
